secid,symbol,exchange,exchangecode,sourceexchange,securitytype
724544219,KGFID-MAR18,EDM,1013221,EDMF05,600
724544221,KGFID-JUN18,EDM,1013222,EDMF05,600
724544222,KGFID-SEP18,EDM,1013223,EDMF05,600
724544223,KGFID-DEC18,EDM,1013224,EDMF05,600
724544224,KKRID-MAR18,EDM,1013225,EDMF05,600
724544226,KKRID-JUN18,EDM,1013226,EDMF05,600
724544227,KKRID-SEP18,EDM,1013227,EDMF05,600
724544228,KKRID-DEC18,EDM,1013228,EDMF05,600
724544229,KMIID-MAR18,EDM,1013230,EDMF05,600
724544231,KMIID-JUN18,EDM,1013231,EDMF05,600
724544232,KMIID-SEP18,EDM,1013232,EDMF05,600
724544233,KMIID-DEC18,EDM,1013233,EDMF05,600
724544234,KORSID-MAR18,EDM,1013237,EDMF05,600
724544236,KORSID-JUN18,EDM,1013238,EDMF05,600
724544237,KORSID-SEP18,EDM,1013239,EDMF05,600
724544238,KORSID-DEC18,EDM,1013240,EDMF05,600
724544239,KROID-MAR18,EDM,1013241,EDMF05,600
724544241,KROID-JUN18,EDM,1013242,EDMF05,600
724544242,KROID-SEP18,EDM,1013243,EDMF05,600
724544243,KROID-DEC18,EDM,1013244,EDMF05,600
724544244,LBHN-MAR18,EDM,1013245,EDMF02,605
724544246,LBHN-JUN18,EDM,1013246,EDMF02,605
724544247,LBHN-SEP18,EDM,1013247,EDMF02,605
724544248,LBHN-DEC18,EDM,1013248,EDMF02,605
724544249,LBRID-MAR18,EDM,1013252,EDMF05,600
724544251,LBRID-JUN18,EDM,1013253,EDMF05,600
724544252,LBRID-SEP18,EDM,1013254,EDMF05,600
724544253,LBRID-DEC18,EDM,1013255,EDMF05,600
724544254,LEAID-MAR18,EDM,1013259,EDMF05,600
724544256,LEAID-JUN18,EDM,1013260,EDMF05,600
724544257,LEAID-SEP18,EDM,1013261,EDMF05,600
724544258,LEAID-DEC18,EDM,1013262,EDMF05,600
724544259,LONCA1N-MAR18,EDM,1013266,EDMF02,605
724544261,LONCA1N-JUN18,EDM,1013267,EDMF02,605
724544262,LONCA1N-SEP18,EDM,1013268,EDMF02,605
724544263,LONCA1N-DEC18,EDM,1013269,EDMF02,605
724544264,LONN-MAR18,EDM,1013273,EDMF02,605
724544266,LONN-JUN18,EDM,1013274,EDMF02,605
724544267,LONN-SEP18,EDM,1013275,EDMF02,605
724544268,LONN-DEC18,EDM,1013276,EDMF02,605
724544269,LOWID-MAR18,EDM,1013280,EDMF05,600
724544271,LOWID-JUN18,EDM,1013281,EDMF05,600
724544272,LOWID-SEP18,EDM,1013282,EDMF05,600
724544273,LOWID-DEC18,EDM,1013283,EDMF05,600
724544274,LUXID-MAR18,EDM,1013284,EDMF05,600
724544276,LUXID-JUN18,EDM,1013285,EDMF05,600
724544277,LUXID-SEP18,EDM,1013286,EDMF05,600
724544278,LUXID-DEC18,EDM,1013287,EDMF05,600
724544279,LVSID-MAR18,EDM,1013291,EDMF05,600
724544281,LVSID-JUN18,EDM,1013292,EDMF05,600
724544282,LVSID-SEP18,EDM,1013293,EDMF05,600
724544283,LVSID-DEC18,EDM,1013294,EDMF05,600
724544284,LHCCA1N-MAR18,EDM,1013295,EDMF02,605
724544286,LHCCA1N-JUN18,EDM,1013296,EDMF02,605
724544287,LHCCA1N-SEP18,EDM,1013297,EDMF02,605
724544288,LHCCA1N-DEC18,EDM,1013298,EDMF02,605
724544289,MACYID-MAR18,EDM,1013302,EDMF05,600
724544291,MACYID-JUN18,EDM,1013303,EDMF05,600
724544292,MACYID-SEP18,EDM,1013304,EDMF05,600
724544293,MACYID-DEC18,EDM,1013305,EDMF05,600
724544294,MASTID-MAR18,EDM,1013309,EDMF05,600
724544296,MASTID-JUN18,EDM,1013310,EDMF05,600
724544297,MASTID-SEP18,EDM,1013311,EDMF05,600
724544298,MASTID-DEC18,EDM,1013312,EDMF05,600
724544299,MCDID-MAR18,EDM,1013316,EDMF05,600
724544301,MCDID-JUN18,EDM,1013317,EDMF05,600
724544302,MCDID-SEP18,EDM,1013318,EDMF05,600
724544303,MCDID-DEC18,EDM,1013319,EDMF05,600
724544304,MCKID-MAR18,EDM,1013320,EDMF05,600
724544306,MCKID-JUN18,EDM,1013321,EDMF05,600
724544307,MCKID-SEP18,EDM,1013322,EDMF05,600
724544308,MCKID-DEC18,EDM,1013323,EDMF05,600
