secid,symbol,exchange,exchangecode,sourceexchange,securitytype
2133003793,STXRAF,JSE,12392,ZA06,112
2133004739,REI,JSE,12446,ZA01,100
2133506313,SOLIHN,JSE,66457,ZA04,107
2133004121,TCS,JSE,11542,ZA03,100
2133500202,DIB,JSE,15179,ZA03,100
2133502567,ZA062,JSE,35355,ZA04,107
2133505405,ECSP8,JSE,56053,ZA02,200
2133506351,ZA116,JSE,68014,ZA04,107
2133003686,MTA,JSE,647,ZA02,100
2133004159,OLG,JSE,2338,ZA03,100
2133505260,GIVFIN,JSE,13130,ZA06,112
2133004014,ARH,JSE,10953,ZA03,100
2133503223,SSS,JSE,55253,ZA03,100
2133506534,SBKSBD,JSE,69040,ZA04,107
927666910,NBK,NAM,9584,ZA12,100
2133503879,ZA067,JSE,42274,ZA04,107
2133004525,TBS,JSE,611,ZA01,100
2133506572,SOLSBV,JSE,70117,ZA04,108
2133500606,MRI,JSE,29543,ZA03,100
2133506900,FSRSBO,JSE,71915,ZA04,107
2133003762,INLP,JSE,5202,ZA02,200
2133506610,ECSP24,JSE,70786,ZA02,200
2133003472,MRF,JSE,171,ZA02,100
2133506938,SPIB19,JSE,72709,ZA04,107
2133003800,TRE,JSE,811,ZA02,100
2133004746,STXSWX,JSE,8175,ZA06,112
2133504428,FRK01,JSE,45709,ZA04,400
2133505847,CSEW40,JSE,59994,ZA06,112
2133004128,FGL,JSE,10000,ZA03,100
927667024,GGC,NAM,37861,ZA11,100
2133505412,CTA,JSE,54762,ZA03,100
2133004166,MMG,JSE,2437,ZA03,100
2133504321,ZA078,JSE,45060,ZA04,107
2133504176,ZA069,JSE,42789,ZA04,107
2133506541,NBCLN1,JSE,69093,ZA04,107
2133504504,ZA085,JSE,46625,ZA04,186
2133505450,SCD,JSE,56802,ZA03,100
2133005150,IPF,JSE,14890,ZA02,100
2133504359,BUC,JSE,15137,ZA03,100
2133505305,LPEGB9,JSE,53906,ZA04,186
2133506106,SPIB10,JSE,62923,ZA04,107
2133506579,SHPSBC,JSE,70103,ZA04,107
2133505961,ZA108,JSE,60174,ZA04,107
2133506907,AIL,JSE,72150,ZA03,100
2133003769,CSB,JSE,717,ZA02,100
2133506289,L2D,JSE,64994,ZA02,104
2133003624,SFN,JSE,206,ZA03,100
2133003479,RBA,JSE,10527,ZA03,100
2133003807,ESR,JSE,8158,ZA03,100
2133004753,CLH,JSE,1591,ZA02,100
2133003662,BCF,JSE,823,ZA03,100
2133004135,CGR,JSE,10932,ZA03,100
927667031,CLN,NAM,51977,ZA12,100
2133506510,SOLSBF,JSE,68493,ZA04,107
927666886,MEY,NAM,13415,ZA11,100
2133004173,KDV,JSE,10910,ZA03,100
2133505274,ILU,JSE,49961,ZA03,100
2133506075,EPE,JSE,62583,ZA02,100
2133506548,TOPSKX,JSE,69310,ZA04,107
2133003883,STAN40,JSE,14303,ZA06,112
2133500109,MAPPSG,JSE,14777,ZA06,112
